year,hires,terminations,net_change,net_change_percent
2000,39,3,36,92.31
2001,214,33,181,84.58
2002,186,29,157,84.41
2003,207,46,161,77.78
2004,199,33,166,83.42
2005,193,40,153,79.27
2006,190,39,151,79.47
2007,189,18,171,90.48
2008,195,23,172,88.21
2009,183,26,157,85.79
2010,184,22,162,88.04
2011,189,26,163,86.24
2012,186,22,164,88.17
2013,188,13,175,93.09
2014,186,16,170,91.40
2015,179,12,167,93.30
2016,206,10,196,95.15
2017,166,10,156,93.98
2018,181,8,173,95.58
2019,171,4,167,97.66
2020,185,3,182,98.38
